title,maker,crimeCategory,materials,period,size,units
History of the Jing Dynasty in 130 Chapters,Unknown,books,Book,Other,105.13,Square inches
Interior of Fort Malakoff,James Robertson,photograph,Photograph,Other,80.0,Square inches
Abstract Pink Onyx Sculpture on Black Marble,Henry Klar; Gloria Klar,sculpture,"Onyx, Marble",20th century,1152.0,Square inches
Red Clay Dog,,sculpture,Clay,Other,1.654,Inches
Keno Trailed Bottle,Caddo Nation,ornamental-ceramic-wares,Ceramic,Other,4.291,Inches
Burned Black Ikebana Drawing (2),Dale Chihuly,drawing-watercolour,,Other,1260.0,Square inches
Ancient and Lost Rivers: Aknill,Terence La Noue,paintings,Mixed Media On Wood,Other,,
Arizona Trails,Olaf Wieghorst,paintings,Oil On Board,20th century,320.0,Square inches
Saint Anthony Miracles,Unknown,paintings,Oil On Canvas,18th century,324.803,Square inches
Saint Bartholomew,Rembrandt,paintings,Oil On Panel,17th century,634.25,Square inches
Earl Moran Painting of Nude Woman Reclining,Earl Moran,paintings,Oil On Canvas,Other,648.0,Square inches
Coin Depicting Jesus Christ,,coins-and-paper-money,,Other,1.636,Inches
Sunset in the Dust,Patrick Stone,sculpture,Onyx,20th century,450.0,Cubic inches
"Japanese Inro, Landscapes",Japan,other-arts-and-antiques,Lacquer; Wood Inlay; Mother Of Pearl; Gold Leaf,18th century,12.85,Cubic inches
The Complete Prophecies of Nostradamus,Michel de Notredame,books,Printed Paper Book,20th century,8.661,Inches
Two individuals in rough clothing carrying tools or weapons,Raul Anguiano,print,Lithograph,20th century,673.062,Square inches
Untitled Spirit,Moses Masaya,sculpture,Serpentine,20th century,126.0,Cubic inches
19th Century American Painting - depicts blue sky,Walter F. Lansil,paintings,Oil On Canvas,19th century,756.0,Square inches
Place de Tertre,Maurice Utrillo,print,,Other,288.0,Square inches
"Apex, 1988",John Okulick,paintings,Paint On Wood,20th century,2340.0,Cubic inches
The Alchemy of Books,Laurence Clark Powell,books,Printed Paper,20th century,,
Lobster Sculpture,Andreas von Zadora Gerlof,sculpture,Coral; Rock Crystal; Lapis Lazuli; Silver; Gold,Other,270.0,Cubic inches
Lincoln in Dalivision,Salvador Dali,print,Print,Other,660.0,Square inches
Untitled Oil on Enamel painting,,paintings,Oil On Enamel,Other,324.0,Square inches
Flared Satsuma Vase,Satsuma,vase,,18th century,,
The Glimpses of the Moon,Edith Wharton,books,Printed Paper Book,20th century,7.48,Inches
November,Michael Scolaro,paintings,Oil On Canvas,20th century,320.0,Square inches
Needlework Picture,,other-textiles,Needlework,Other,,
Elements of Physiology,Anthelme Richerand,books,Printed Paper Book,19th century,,
Jennifer K. on Grey Ottoman,Max Moran,paintings,Oil On Canvas,19th century,936.0,Square inches
Mrs. Norton's Porch - West Chop #2,Max Moran,paintings,Oil On Canvas,20th century,884.0,Square inches
Islamic architectural adornments,Turkey; Islamic,other-arts-and-antiques,Brass,Other,,
Squash Blossom,Susan Kliewer,sculpture,Bronze,Other,,
Duck Soup 3,Joyce Pensato,drawing-watercolour,Charcoal; Pastel; Paper,21st century,831.188,Square inches
Face (Tear & Sweat),Tomio Kinoshita; Japan,print,Ink On Paper,20th century,,
Dream Fragment I,Michael Wilkinson,sculpture,Acrylic,20th century,18.0,Inches
Roman Marble Head,Roman,sculpture,Marble,Other,198.425,Cubic inches
Classic Landscape with Figures,French or Italian Baroque,paintings,Oil On Canvas,Other,4320.0,Square inches
Hadrian Aureus (Reverse),Roman,coins-and-paper-money,Gold,12th century,,
Tiffany Lamp in Pastel Orange,Tiffany; Frank Lloyd Wright,lamp,Stained Glass,Other,53.0,Inches
Force d'Europe,Garbriel Bodenehr,books,Book,18th century,,
Silver Black Ikebana with Four Stems,Dale Chihuly,sculpture,Glass,Other,368.0,Square inches
"Rhinoceros Cuff Links, Ruby, Citrine and Diamond",Zadora Limited,other-jewelry,Gold; Diamond; Citrine; Ruby,20th century,,
Spotted Vessel with Cobalt Leaf Piccolo Venetian,Dale Chihuly,sculpture,Glass,Other,28.0,Square inches
Composition #100,Edmund D. Lewandowski,paintings,Watercolor,20th century,884.0,Square inches
History of the Song Dynasty in 496 Chapters,China,books,,14th century,131.693,Square inches
A Sacrifice to Diana,Luigi Ademoldo,drawing-watercolour,Pen And Ink On Paper Drawing,Other,,
La Tentation de Saint Antoine | The Temptation of Saint Antoine,David Teniers,paintings,Oil On Panel,16th century,380.409,Square inches
Orange Bird,Vistosi,sculpture,Glass,Other,,
Roman Funerary Stele (spiral geometric),Roman,other-arts-and-antiques,Stone,Other,1259.843,Square inches
Paris - Church of St. Germain des Pres,Arbit Blatas,paintings,Oil On Canvas,20th century,2262.5,Square inches
Untitled,Yves Tanguy,drawing-watercolour,Pencil On Paper,20th century,158.562,Square inches
Green Tara,Asian,sculpture,Bronze Gilt,18th century,8.0,Inches
Soul of Dunhuang,Jiang Tie-Feng; China,paintings,Mixed Media Rice Paper,20th century,400.0,Square inches
Hopi Pueblo,Thomas Polacca,other-collectibles,Ceramic Pot,Other,42.625,Square inches
"Duck Cuff Links, Green Tourmaline with Diamond Details",Zadora Limited,other-jewelry,Tourmaline; Gold; Diamond,20th century,,
Enlightenment,Linda Benningfield,paintings,Oil On Canvas,20th century,1428.0,Square inches
High Bridge Station,Manuel J. Tolegian,paintings,Oil,20th century,720.0,Square inches
Elizabeth I (doll),Dorothy Heizer,dolls-and-figurines,,20th century,10.5,Inches
Peach Cylinder with Indian Blanket Design,Dale Chihuly,sculpture,Glass,Other,54.0,Cubic inches
High Country Bugler,Vince Valdez,sculpture,Bronze,Other,725.0,Square inches
Melastroma intermedia,Mang Hang Ho,paintings,Watercolor And Pencil On Paper,20th century,432.0,Square inches
Old Indian Days,Charles Alexander Eastman,books,Printed Paper,20th century,7.874,Inches
Eastern Oceans of Time,Eric Orr,sculpture,Metal; Water,20th century,1242.0,Cubic inches
Double Mickey Mouse,Andy Warhol,print,Paper,20th century,1311.5,Square inches
Vainglory,Ronald Firbank,books,Printed Paper,20th century,7.48,Inches
Trans East West #33: Former Trade Center,Franz Ackermann,paintings,Mixed Media On Paper,20th century,149.5,Square inches
"Silver Mug (17th Century, Hunting Scenes)",,other-arts-and-antiques,Silver,17th century,,
Aubade,Mikio Watanabe,print,Mezzotint Print,20th century,,
Marilyn (F. & S. 22),Andy Warhol,print,Silkscreen,20th century,1296.0,Square inches
Lavender Mauve Macchia Pair with Dark Teal Lip Wraps,Dale Chihuly,sculpture,Glass,Other,504.0,Cubic inches
The Colosseum and the Arch of Constantine in Rome,Victor-Jean Nicolle,paintings,Black And Brown Ink And Tempera On Paper,Other,4.708,Square inches
Bone Rainbow,Ruth Snyder,sculpture,Stainless Steel,21st century,10368.0,Square inches
Clyde Drexler rookie cards,Unknown,sports-collectibles,Basketball Cards,Other,,
"Japanese Inro, Boy Fighting Demon",Japan,other-arts-and-antiques,Lacquer; Wood; Mother Of Pearl,18th century,13.512,Cubic inches
Jack and Elk,Charles M. Russell,drawing-watercolour,Pen And Ink,Other,110.0,Square inches
Goddess of Victory,Hatra; Iraq,sculpture,Copper,Other,,
Grand National Steeplechase,Cecil Aldin,print,,20th century,192.0,Square inches
Blue Vase and Flowers,Ostor Glorig,paintings,Oil On Canvas,19th century,1739.0,Square inches
Elk,David Daniels,None,Bronze,Other,252.0,Square inches
Dome Shaped Tiffany Lamp with Lower Double Border,Tiffany,lamp,Stained Glass,Other,24708.605,Square inches
Negligee,Erte,sculpture,Bronze,20th century,17.0,Inches
Jade Sea Lion,Chinese,sculpture,Jade,Other,4.0,Inches
Nude Torso 1922,Edward Weston,print,Paper Photograph,Other,80.0,Square inches
Crab Hall,Louis Aston Knight,paintings,Watercolor,Other,180.0,Square inches
Little Mustang Mare,Grant Speed,sculpture,Bronze,Other,147.0,Cubic inches
El Valle de Mexico,Jose Maria Velasco,paintings,Oil On Canvas,19th century,252.0,Square inches
Akan Gold Pendant,Akan,other-jewelry,Gold,Other,31.89,Square inches
